Master Date List,Bin 5 Flow Data (gpm),,,Bin 5,,,,,,,,,,,,,,,,,,,Bin 5 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 5 Inflow (Bin 1),Bin 5 Outflow,Date,Bin 5 TDS,Bin 5 Sulfate,Bin 5 Chloride,Bin 5 Arsenic,Bin 5 Selenium,Bin 5 Chromium,Bin 5 Copper,Bin 5 Zinc,Bin 5 Nitrate,Bin 5 Nitrite,Bin 5 Phosphorus,Bin 5 COD,Bin 5 Boron,Bin 5 Color,Bin 5 Thallium,Bin 5 DOC,Bin 5 Nitrate + Nitrite as N,Bin 5 Sulfide,Date,Bin 5 Conductivity S/m,Bin 5 Conductivity µS/cm,Bin 5 DO mg/L,Bin 5 ORP,Bin 5 pH,Bin 5 Temp. Celsius,Bin 5 H2S mg/L
11/20/12,11/20/12,0.0453125,0.03125,,,,,,,,,,,,,,,,,,,,11/20/12,,12540,,-24,6.99,19.1,
11/27/12,11/27/12,0.040625,0.03125,,,,,,,,,,,,,,,,,,,,11/27/12,,12640,,77,6.64,19.1,
11/28/12,,,,11/28/12,11000,2780,3730,0.01,0.0038,0.02,NA,NA,2,NA,0.1,220,1.61,,,,,,,,,,,,,
12/13/12,12/13/12,0.0515625,0.046875,,,,,,,,,,,,,,,,,,,,12/13/12,,,,,,,
12/19/12,12/19/12,0.0625,0.06171875,12/19/12,11100,2830,3900,0.01,0.0042,0.01,NA,NA,4.6,NA,0.1,210,1.44,,,,,,12/19/12,,13480,,8,6.93,15,
1/23/13,1/23/13,0.05,0.03984375,,,,,,,,,,,,,,,,,,,,1/23/13,,11670,,48,6.9,13,
2/1/13,2/1/13,0.0734375,0.06953125,,,,,,,,,,,,,,,,,,,,2/1/13,,11130,,75,6.9,13.9,
2/6/13,,,,2/6/13,9570,2650,3210,0.01,0.0086,0.005,NA,NA,15,0.2,0.1,220,NA,,,,,,,,,,,,,
2/22/13,2/22/13,0.0515625,0.05,,,,,,,,,,,,,,,,,,,,2/22/13,,10980,,153,6.64,15.3,
2/27/13,2/27/13,0.046875,0.046875,,,,,,,,,,,,,,,,,,,,2/27/13,,10710,,40,7.23,14.2,
